Alabama,4822023
Alaska,731449
Arizona,6553255
Arkansas,2949131
California,38041430
Colorado,5187582
Connecticut,3590347
Delaware,917092
Florida,19317568
Georgia,9919945
Hawaii,1392313
Idaho,1595728
Illinois,12875255
Indiana,6537334
Iowa,3078186
Kansas,2885905
Kentucky,4380415
Louisiana,4601893
Maine,1329192
Maryland,5884563
Massachusetts,6646144
Michigan,9883360
Minnesota,5379139
Mississippi,2984926
Missouri,6021988
Montana,1005141
Nebraska,1855525
Nevada,2758931
New Hampshire,1320718
New Jersey,8864590
New Mexico,2085538
New York,19570261
North Carolina,9752073
North Dakota,699628
Ohio,11544225
Oklahoma,3814820
Oregon,3899353
Pennsylvania,12763536
Rhode Island,1050292
South Carolina,4723723
South Dakota,833354
Tennessee,6456243
Texas,26059203
Utah,2855287
Vermont,626011
Virginia,8185867
Washington,6897012
West Virginia,1855413
Wisconsin,5726398
Wyoming,576412
American Samoa,55519
Guam,159358
Northern Mariana Islands,53883
Puerto Rico,3725789
U.S. Virgin Islands,106405
District of Columbia,61158
Baker Island,0
Howland Island,0
Jarvis Island,0
Johnston Atoll,0
Kingman Reef,0
Midway Atoll,0
Navassa Island,0
Palmyra Atoll,0
Wake Island,0
